States/UTs,Crime Head,18-30,30-45,45-60,60+,Total
Andhra Pradesh,14.4 - Caste Conflict,31,17,7,0,55
Andhra Pradesh,14.4.1 - SC/STs Vs. Non-SCs/STs,31,17,7,0,55
Andhra Pradesh,14.4.2 - Other Caste Riots,0,0,0,0,0
Andhra Pradesh,14.5 - Agrarian,0,0,0,0,0
Andhra Pradesh,14.6 - Students,0,0,0,0,0
Andhra Pradesh,14.7 - Sectarian,0,0,0,0,0
Andhra Pradesh,14.8 - Other Riots,2255,1739,553,61,4608
Andhra Pradesh,15 - Criminal Breach of Trust (Section 406 to 409 IPC),362,568,202,36,1168
Andhra Pradesh,16 - Cheating (Section 420 IPC),1744,3357,1799,127,7027
Andhra Pradesh,"17 - Forgery (Section 465, 468 & 471 IPC)",40,88,53,18,199
Andhra Pradesh,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",57,74,13,1,145
Andhra Pradesh,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,4,0,0,6
Andhra Pradesh,18.2 - Counterfeiting Government Stamp (Section 255 IPC),0,0,0,0,0
Andhra Pradesh,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),55,70,13,1,139
Andhra Pradesh,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),25,37,6,1,69
Andhra Pradesh,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),11,19,2,0,32
Andhra Pradesh,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),17,14,5,0,36
Andhra Pradesh,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2,0,0,0,2
Andhra Pradesh,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),0,0,0,0,0
Andhra Pradesh,19 - Arson (Section 435-436 & 438 IPC),132,274,93,2,501
Andhra Pradesh,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",525,532,164,17,1238
Andhra Pradesh,20.1 - Grievous Hurt (Section 325 & 326 IPC),516,532,163,16,1227
Andhra Pradesh,20.2 - Acid attack (Section 326A IPC),5,0,1,1,7
Andhra Pradesh,20.3 - Attempt to Acid Attack (Section 326B IPC),4,0,0,0,4
Andhra Pradesh,21 - Dowry Deaths (Section 304-B IPC),180,236,106,9,531
Andhra Pradesh,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2361,1948,559,12,4880
Andhra Pradesh,22.1 - Sexual Harassment (Section 354A IPC),514,433,108,2,1057
Andhra Pradesh,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),214,129,31,1,375
Andhra Pradesh,22.3 - Voyeurism (Section 354C IPC),46,33,6,0,85
Andhra Pradesh,22.4 - Stalking (Section 354D IPC),265,202,42,0,509
Andhra Pradesh,22.5 - Others,1322,1151,372,9,2854
Andhra Pradesh,23 - Insult to the Modesty of Women (Section 509 IPC),1501,1192,241,62,2996
Andhra Pradesh,23.1 - At Office premises,0,2,0,0,2
Andhra Pradesh,23.2 - Places related to work other than Office,49,55,3,0,107
Andhra Pradesh,23.3 - In Public Transport system,55,12,1,0,68
Andhra Pradesh,23.4 - in Other Places,1397,1123,237,62,2819
Andhra Pradesh,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),2994,4311,1763,202,9270
Andhra Pradesh,25 - Importation of Girls from Foreign Country (Section 366-B IPC),0,0,0,0,0
Andhra Pradesh,26 - Causing Death by Negligence (Section 304-A IPC),2324,3083,1284,49,6740
Andhra Pradesh,26.1 - Deaths due to negligent driving/act,2300,3009,1253,49,6611
Andhra Pradesh,26.2 - Deaths due to Other Causes,24,74,31,0,129
Andhra Pradesh,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",0,0,0,0,0
Andhra Pradesh,27.1 - Sedition (Section 124A IPC),0,0,0,0,0
Andhra Pradesh,27.2 - Other offences against State,0,0,0,0,0
Andhra Pradesh,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),25,11,6,0,42
Andhra Pradesh,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),25,11,6,0,42
Andhra Pradesh,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),0,0,0,0,0
Andhra Pradesh,29 - Extortion (Section 384 - 389 IPC),146,138,44,0,328
Andhra Pradesh,30 - Disclosure of Identity of Victims (Section 228 A IPC),0,0,0,0,0
Andhra Pradesh,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),5244,5660,2210,371,13485
Andhra Pradesh,32 - Human Trafficking (Section 370 & 370A IPC),4,5,1,0,10
Andhra Pradesh,33 - Unnatural Offences U/s 377 IPC,1,0,0,0,1
Andhra Pradesh,34 - Other IPC crimes,32577,35138,13089,1109,81913
Andhra Pradesh,35 - Total Cognizable IPC crimes,67964,68987,25845,2413,165209
Arunachal Pradesh,1 - Murder (Section 302 IPC),89,68,7,0,164
Arunachal Pradesh,2 - Attempt to commit Murder (Section 307 IPC),32,29,9,0,70
Arunachal Pradesh,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),2,1,0,0,3
Arunachal Pradesh,4 - Attempt to commit Culpable Homicide (Section 308 IPC),0,0,0,0,0
Arunachal Pradesh,5 - Rape (Section 376 IPC),52,32,4,0,88
Arunachal Pradesh,5.1 - Custodial Rape,3,1,0,0,4
Arunachal Pradesh,5.1.1 - Gang Rape,0,0,0,0,0
Arunachal Pradesh,5.1.2 - Other Rape,3,1,0,0,4
Arunachal Pradesh,5.2 - Rape other than Custodial,49,31,4,0,84
Arunachal Pradesh,5.2.1 - Gang Rape,7,0,0,0,7
Arunachal Pradesh,5.2.2 - Other Rape,42,31,4,0,77
Arunachal Pradesh,6 - Attempt to commit Rape (Section 376/511 IPC),8,3,2,0,13
Arunachal Pradesh,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",91,59,4,0,154
Arunachal Pradesh,7.1 - Kidnapping & Abduction (Section 363 IPC),17,10,0,0,27
Arunachal Pradesh,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2,0,0,0,2
Arunachal Pradesh,7.3 - Kidnapping for Ransom (Section 364A IPC),7,2,0,0,9
Arunachal Pradesh,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),8,11,1,0,20
Arunachal Pradesh,7.5 - Other Kidnapping,57,36,3,0,96
Arunachal Pradesh,"8 - Dacoity (Section 395,396-398 IPC)",7,2,0,0,9
Arunachal Pradesh,8.1 - Dacoity with Murder (Section 396 IPC),0,0,0,0,0
Arunachal Pradesh,8.2 - Other Dacoity,7,2,0,0,9
Arunachal Pradesh,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),0,0,0,0,0
Arunachal Pradesh,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",65,23,7,0,95
Arunachal Pradesh,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),89,21,3,0,113
Arunachal Pradesh,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",72,21,3,0,96
Arunachal Pradesh,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",17,0,0,0,17
Arunachal Pradesh,12 - Theft (Section 379 to 382 IPC),226,92,7,0,325
Arunachal Pradesh,12.1 - Auto Theft,52,16,0,0,68
Arunachal Pradesh,12.2 - Other Thefts,174,76,7,0,257
Arunachal Pradesh,"13 - Unlawful Assembly (Section 143,144 & 145)",12,9,0,0,21
Arunachal Pradesh,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",73,49,15,0,137
Arunachal Pradesh,14.1 - Communal,11,3,0,0,14
Arunachal Pradesh,14.2 - Industrial,0,0,0,0,0
Arunachal Pradesh,14.3 - Political,10,23,12,0,45
Arunachal Pradesh,14.4 - Caste Conflict,0,0,0,0,0
Arunachal Pradesh,14.4.1 - SC/STs Vs. Non-SCs/STs,0,0,0,0,0
Arunachal Pradesh,14.4.2 - Other Caste Riots,0,0,0,0,0
Arunachal Pradesh,14.5 - Agrarian,0,0,0,0,0
Arunachal Pradesh,14.6 - Students,5,0,0,0,5
Arunachal Pradesh,14.7 - Sectarian,0,0,0,0,0
Arunachal Pradesh,14.8 - Other Riots,47,23,3,0,73
Arunachal Pradesh,15 - Criminal Breach of Trust (Section 406 to 409 IPC),19,9,2,0,30
Arunachal Pradesh,16 - Cheating (Section 420 IPC),39,39,9,0,87
Arunachal Pradesh,"17 - Forgery (Section 465, 468 & 471 IPC)",5,5,0,0,10
Arunachal Pradesh,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",0,0,0,0,0
Arunachal Pradesh,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0,0,0,0
Arunachal Pradesh,18.2 - Counterfeiting Government Stamp (Section 255 IPC),0,0,0,0,0
Arunachal Pradesh,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),0,0,0,0,0
Arunachal Pradesh,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),0,0,0,0,0
Arunachal Pradesh,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),0,0,0,0,0
Arunachal Pradesh,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),0,0,0,0,0
Arunachal Pradesh,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),0,0,0,0,0
Arunachal Pradesh,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),0,0,0,0,0
Arunachal Pradesh,19 - Arson (Section 435-436 & 438 IPC),17,6,0,0,23
Arunachal Pradesh,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",198,89,25,0,312
Arunachal Pradesh,20.1 - Grievous Hurt (Section 325 & 326 IPC),198,89,25,0,312
Arunachal Pradesh,20.2 - Acid attack (Section 326A IPC),0,0,0,0,0
Arunachal Pradesh,20.3 - Attempt to Acid Attack (Section 326B IPC),0,0,0,0,0
Arunachal Pradesh,21 - Dowry Deaths (Section 304-B IPC),1,0,0,0,1
Arunachal Pradesh,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),91,61,6,0,158
Arunachal Pradesh,22.1 - Sexual Harassment (Section 354A IPC),13,13,0,0,26
Arunachal Pradesh,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),0,0,0,0,0
Arunachal Pradesh,22.3 - Voyeurism (Section 354C IPC),3,3,0,0,6
Arunachal Pradesh,22.4 - Stalking (Section 354D IPC),0,0,0,0,0
Arunachal Pradesh,22.5 - Others,75,45,6,0,126
Arunachal Pradesh,23 - Insult to the Modesty of Women (Section 509 IPC),2,1,0,0,3
Arunachal Pradesh,23.1 - At Office premises,0,0,0,0,0
Arunachal Pradesh,23.2 - Places related to work other than Office,0,0,0,0,0
Arunachal Pradesh,23.3 - In Public Transport system,0,0,0,0,0
Arunachal Pradesh,23.4 - in Other Places,2,1,0,0,3
Arunachal Pradesh,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),14,24,6,0,44
Arunachal Pradesh,25 - Importation of Girls from Foreign Country (Section 366-B IPC),0,0,0,0,0
Arunachal Pradesh,26 - Causing Death by Negligence (Section 304-A IPC),21,11,5,0,37
Arunachal Pradesh,26.1 - Deaths due to negligent driving/act,21,10,4,0,35
Arunachal Pradesh,26.2 - Deaths due to Other Causes,0,1,1,0,2
Arunachal Pradesh,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",0,0,0,0,0
Arunachal Pradesh,27.1 - Sedition (Section 124A IPC),0,0,0,0,0
Arunachal Pradesh,27.2 - Other offences against State,0,0,0,0,0
Arunachal Pradesh,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),0,0,0,0,0
Arunachal Pradesh,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),0,0,0,0,0
Arunachal Pradesh,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),0,0,0,0,0
Arunachal Pradesh,29 - Extortion (Section 384 - 389 IPC),115,39,6,0,160
Arunachal Pradesh,30 - Disclosure of Identity of Victims (Section 228 A IPC),0,0,0,0,0
Arunachal Pradesh,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),54,15,1,0,70
Arunachal Pradesh,32 - Human Trafficking (Section 370 & 370A IPC),0,0,0,0,0
Arunachal Pradesh,33 - Unnatural Offences U/s 377 IPC,0,0,0,0,0
Arunachal Pradesh,34 - Other IPC crimes,504,334,73,4,915
Arunachal Pradesh,35 - Total Cognizable IPC crimes,1826,1021,191,4,3042
Assam,1 - Murder (Section 302 IPC),1384,2062,154,0,3600
Assam,2 - Attempt to commit Murder (Section 307 IPC),526,1013,188,0,1727
Assam,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),27,104,20,0,151
Assam,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2,12,0,0,14
Assam,5 - Rape (Section 376 IPC),1398,2017,200,0,3615
Assam,5.1 - Custodial Rape,0,0,0,0,0
Assam,5.1.1 - Gang Rape,0,0,0,0,0
Assam,5.1.2 - Other Rape,0,0,0,0,0
Assam,5.2 - Rape other than Custodial,1398,2017,200,0,3615
Assam,5.2.1 - Gang Rape,17,25,2,0,44
Assam,5.2.2 - Other Rape,1381,1992,198,0,3571
Assam,6 - Attempt to commit Rape (Section 376/511 IPC),65,135,25,0,225
Assam,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2329,4663,887,0,7879
Assam,7.1 - Kidnapping & Abduction (Section 363 IPC),0,0,0,0,0
Assam,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),0,6,0,0,6
Assam,7.3 - Kidnapping for Ransom (Section 364A IPC),25,20,4,0,49
Assam,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),1905,3880,769,0,6554
Assam,7.5 - Other Kidnapping,399,757,114,0,1270
Assam,"8 - Dacoity (Section 395,396-398 IPC)",225,398,39,0,662
Assam,8.1 - Dacoity with Murder (Section 396 IPC),0,1,0,0,1
Assam,8.2 - Other Dacoity,225,397,39,0,661
Assam,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),5,23,1,0,29
Assam,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",601,1385,182,0,2168
Assam,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),1932,3758,707,0,6397
Assam,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",1763,3241,626,0,5630
Assam,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",169,517,81,0,767
Assam,12 - Theft (Section 379 to 382 IPC),6442,11368,1159,0,18969
Assam,12.1 - Auto Theft,1841,3074,285,0,5200
Assam,12.2 - Other Thefts,4601,8294,874,0,13769
Assam,"13 - Unlawful Assembly (Section 143,144 & 145)",403,748,157,0,1308
Assam,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",1899,3123,639,0,5661
Assam,14.1 - Communal,0,0,0,0,0
Assam,14.2 - Industrial,0,0,0,0,0
Assam,14.3 - Political,0,3,0,0,3
Assam,14.4 - Caste Conflict,0,0,0,0,0
Assam,14.4.1 - SC/STs Vs. Non-SCs/STs,0,0,0,0,0
Assam,14.4.2 - Other Caste Riots,0,0,0,0,0
Assam,14.5 - Agrarian,0,0,0,0,0
Assam,14.6 - Students,0,0,0,0,0
Assam,14.7 - Sectarian,0,0,0,0,0
Assam,14.8 - Other Riots,1899,3120,639,0,5658
Assam,15 - Criminal Breach of Trust (Section 406 to 409 IPC),1030,1770,525,0,3325
Assam,16 - Cheating (Section 420 IPC),1129,2444,644,0,4217
Assam,"17 - Forgery (Section 465, 468 & 471 IPC)",18,66,6,0,90
Assam,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",31,109,13,0,153
Assam,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0,0,0,0
Assam,18.2 - Counterfeiting Government Stamp (Section 255 IPC),0,0,0,0,0
Assam,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),31,109,13,0,153
Assam,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),31,109,13,0,153
Assam,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),0,0,0,0,0
Assam,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),0,0,0,0,0
Assam,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),0,0,0,0,0
Assam,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),0,0,0,0,0
Assam,19 - Arson (Section 435-436 & 438 IPC),898,2041,161,0,3100
Assam,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",4034,5809,1678,0,11521
Assam,20.1 - Grievous Hurt (Section 325 & 326 IPC),4034,5809,1678,0,11521
Assam,20.2 - Acid attack (Section 326A IPC),0,0,0,0,0
Assam,20.3 - Attempt to Acid Attack (Section 326B IPC),0,0,0,0,0
Assam,21 - Dowry Deaths (Section 304-B IPC),33,202,49,0,284
Assam,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),1144,2045,577,0,3766
Assam,22.1 - Sexual Harassment (Section 354A IPC),152,279,27,0,458
Assam,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),106,361,149,0,616
Assam,22.3 - Voyeurism (Section 354C IPC),0,0,0,0,0
Assam,22.4 - Stalking (Section 354D IPC),0,0,0,0,0
Assam,22.5 - Others,886,1405,401,0,2692
Assam,23 - Insult to the Modesty of Women (Section 509 IPC),0,1,0,0,1
Assam,23.1 - At Office premises,0,0,0,0,0
Assam,23.2 - Places related to work other than Office,0,1,0,0,1
Assam,23.3 - In Public Transport system,0,0,0,0,0
Assam,23.4 - in Other Places,0,0,0,0,0
Assam,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),3256,8196,1508,0,12960
Assam,25 - Importation of Girls from Foreign Country (Section 366-B IPC),0,1,0,0,1
Assam,26 - Causing Death by Negligence (Section 304-A IPC),1118,1942,358,0,3418
Assam,26.1 - Deaths due to negligent driving/act,261,524,56,0,841
Assam,26.2 - Deaths due to Other Causes,857,1418,302,0,2577
Assam,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",17,31,9,0,57
Assam,27.1 - Sedition (Section 124A IPC),0,1,0,0,1
Assam,27.2 - Other offences against State,17,30,9,0,56
Assam,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),0,0,0,0,0
Assam,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),0,0,0,0,0
Assam,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),0,0,0,0,0
Assam,29 - Extortion (Section 384 - 389 IPC),435,635,162,0,1232
Assam,30 - Disclosure of Identity of Victims (Section 228 A IPC),0,0,0,0,0
Assam,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),1448,1532,229,0,3209
Assam,32 - Human Trafficking (Section 370 & 370A IPC),15,48,5,0,68
Assam,33 - Unnatural Offences U/s 377 IPC,0,0,0,0,0
Assam,34 - Other IPC crimes,15093,26042,5793,2,46930
Assam,35 - Total Cognizable IPC crimes,46937,83723,16075,2,146737
Bihar,1 - Murder (Section 302 IPC),2389,2208,773,44,5414
Bihar,2 - Attempt to commit Murder (Section 307 IPC),2760,2278,840,37,5915
Bihar,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),151,89,44,9,293
Bihar,4 - Attempt to commit Culpable Homicide (Section 308 IPC),325,314,183,11,833
Bihar,5 - Rape (Section 376 IPC),826,274,41,0,1141
Bihar,5.1 - Custodial Rape,0,0,0,0,0
Bihar,5.1.1 - Gang Rape,0,0,0,0,0
Bihar,5.1.2 - Other Rape,0,0,0,0,0
Bihar,5.2 - Rape other than Custodial,826,274,41,0,1141
Bihar,5.2.1 - Gang Rape,40,7,0,0,47
Bihar,5.2.2 - Other Rape,786,267,41,0,1094
Bihar,6 - Attempt to commit Rape (Section 376/511 IPC),338,101,28,5,472
Bihar,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",4963,1834,458,13,7268
Bihar,7.1 - Kidnapping & Abduction (Section 363 IPC),354,296,70,0,720
Bihar,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),483,268,68,8,827
Bihar,7.3 - Kidnapping for Ransom (Section 364A IPC),84,47,2,0,133
Bihar,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),3578,959,273,5,4815
Bihar,7.5 - Other Kidnapping,464,264,45,0,773
Bihar,"8 - Dacoity (Section 395,396-398 IPC)",1109,789,195,3,2096
Bihar,8.1 - Dacoity with Murder (Section 396 IPC),13,11,0,0,24
Bihar,8.2 - Other Dacoity,1096,778,195,3,2072
Bihar,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),164,78,4,0,246
Bihar,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",1987,848,217,12,3064
Bihar,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2622,1055,369,20,4066
Bihar,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2521,996,365,20,3902
Bihar,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",101,59,4,0,164
Bihar,12 - Theft (Section 379 to 382 IPC),9891,4769,1290,112,16062
Bihar,12.1 - Auto Theft,3931,1859,298,84,6172
Bihar,12.2 - Other Thefts,5960,2910,992,28,9890
Bihar,"13 - Unlawful Assembly (Section 143,144 & 145)",406,600,636,5,1647
Bihar,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",28211,20196,4606,143,53156
Bihar,14.1 - Communal,281,86,15,2,384
Bihar,14.2 - Industrial,0,0,0,0,0
Bihar,14.3 - Political,13,9,3,0,25
Bihar,14.4 - Caste Conflict,45,5,0,0,50
Bihar,14.4.1 - SC/STs Vs. Non-SCs/STs,0,0,0,0,0
Bihar,14.4.2 - Other Caste Riots,45,5,0,0,50
Bihar,14.5 - Agrarian,321,461,204,9,995
Bihar,14.6 - Students,58,0,0,0,58
Bihar,14.7 - Sectarian,0,0,0,0,0
Bihar,14.8 - Other Riots,27493,19635,4384,132,51644
Bihar,15 - Criminal Breach of Trust (Section 406 to 409 IPC),603,644,282,0,1529
Bihar,16 - Cheating (Section 420 IPC),1677,2422,1152,78,5329
Bihar,"17 - Forgery (Section 465, 468 & 471 IPC)",315,508,203,24,1050
Bihar,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",154,105,56,5,320
Bihar,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",140,92,56,5,293
Bihar,18.2 - Counterfeiting Government Stamp (Section 255 IPC),0,0,0,0,0
Bihar,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),14,13,0,0,27
Bihar,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),9,9,0,0,18
Bihar,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),4,2,0,0,6
Bihar,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),1,2,0,0,3
Bihar,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),0,0,0,0,0
Bihar,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),0,0,0,0,0
Bihar,19 - Arson (Section 435-436 & 438 IPC),373,343,118,5,839
Bihar,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",10950,8930,3720,153,23753
Bihar,20.1 - Grievous Hurt (Section 325 & 326 IPC),10945,8930,3720,153,23748
Bihar,20.2 - Acid attack (Section 326A IPC),5,0,0,0,5
Bihar,20.3 - Attempt to Acid Attack (Section 326B IPC),0,0,0,0,0
Bihar,21 - Dowry Deaths (Section 304-B IPC),1229,801,340,14,2384
Bihar,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),487,181,44,8,720
Bihar,22.1 - Sexual Harassment (Section 354A IPC),251,79,32,0,362
Bihar,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),58,29,4,0,91
Bihar,22.3 - Voyeurism (Section 354C IPC),5,0,0,0,5
Bihar,22.4 - Stalking (Section 354D IPC),5,1,0,0,6
Bihar,22.5 - Others,168,72,8,8,256
Bihar,23 - Insult to the Modesty of Women (Section 509 IPC),45,26,0,0,71
Bihar,23.1 - At Office premises,0,0,0,0,0
Bihar,23.2 - Places related to work other than Office,0,0,0,0,0
Bihar,23.3 - In Public Transport system,0,0,0,0,0
Bihar,23.4 - in Other Places,45,26,0,0,71
