STATE/UT,YEAR,Persons InCust./ Bail During Investigation At Beginning Of The Year,Persons Arrested During The Year,Persons Released By Police/Magistrate Before Trial,Persons In Custody/ Bail During Investigation At The End Of Year,Persons Chargesheeted,Persons Under Trial At The Beginning Of Year,Total Persons Under Trial,No. Of Persons Whose Cases Withdrawn Or Otherwise Disposed Of,Persons In Custody/ Bail During Trial At The End Of Year,Persons In Whose Cases Trial Completed,Persons Convicted,Persons Acquitted,Persons Reported For Regular Deptt. Action,Persons Reported For Suitable Action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - Awarded Minor Punishment,Persons Punished Departmentally - Awarded Other Major Punishment,Gazetted Or Equal Status Officers In Public Sector Undertaking Involved - Group 'A' Officers,Gazetted Or Equal Status Officers In Public Sector Undertaking Involved - Group 'B' Officers,Non Gazetted or Equal Status Officers in Public Undertaking Involved,Private Persons Involved
Bihar,2007,13,950,0,20,943,0,0,4,0,4,4,0,0,0,0,0,0,0,246,150,332,215
Bihar,2008,20,227,0,31,216,959,1175,0,1166,9,8,1,0,0,0,0,0,0,5,56,131,25
Bihar,2009,31,203,0,42,192,1166,1358,0,1353,5,3,2,0,0,0,0,0,0,7,40,124,21
Bihar,2010,42,160,0,65,137,1353,1490,3,1475,12,10,2,0,0,0,0,0,0,3,42,82,15
Bihar,2011,65,103,0,0,1475,1674,4,1649,21,17,4,0,0,0,29,0,0,0,12,49,85,21
Bihar,2012,21,96,0,21,96,1649,1745,0,1733,12,11,1,96,96,0,0,0,0,1,39,48,8
Chhattisgarh,2002,74,62,0,76,60,261,321,6,210,105,49,56,0,0,0,0,0,0,1,6,55,0
Chhattisgarh,2003,74,62,0,76,60,261,321,6,210,105,49,56,0,0,0,0,0,0,1,6,55,0
Chhattisgarh,2004,63,34,0,40,57,200,257,1,222,34,21,13,0,0,0,0,0,0,0,10,21,3
Chhattisgarh,2005,40,39,0,54,25,222,247,0,215,32,15,17,0,0,0,0,0,0,0,5,28,6
Chhattisgarh,2006,54,50,0,70,34,215,249,0,228,21,6,15,0,0,0,0,0,0,0,8,38,4
Chhattisgarh,2007,70,19,5,77,7,228,235,0,219,16,4,12,0,0,0,0,0,0,0,3,14,2
Chhattisgarh,2008,77,31,3,86,19,219,238,1,206,31,9,22,0,0,0,0,0,0,0,4,27,0
Chhattisgarh,2009,86,50,5,97,34,219,253,2,230,21,3,18,0,0,0,0,0,0,0,8,41,1
Chhattisgarh,2010,97,49,0,118,28,230,258,3,246,9,4,5,0,0,0,0,0,0,0,8,37,4
Chhattisgarh,2011,118,48,0,129,37,246,283,2,270,11,6,5,0,0,0,0,0,0,0,8,40,1
Chhattisgarh,2012,129,37,3,101,62,270,332,0,323,9,4,5,0,0,0,0,0,0,0,12,22,3
Goa,2001,8,14,1,17,4,24,28,0,27,1,0,1,0,0,0,0,0,0,1,0,4,9
Goa,2002,17,2,0,7,12,27,39,1,33,5,0,5,0,0,0,0,0,0,1,0,1,0
Goa,2003,7,3,1,4,5,33,38,1,34,3,0,3,0,0,0,0,0,0,0,0,2,1
Goa,2004,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Goa,2005,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Goa,2006,4,2,0,6,0,31,31,0,29,2,0,2,0,0,0,0,0,0,0,0,2,0
Goa,2007,6,1,0,7,0,29,29,0,23,6,0,6,0,0,0,0,0,0,0,0,0,1
Goa,2008,7,2,0,4,5,23,28,0,27,1,0,1,0,0,0,0,0,0,0,0,0,2
Goa,2009,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2010,3,8,0,11,0,23,23,0,22,1,0,1,0,0,0,0,0,0,0,0,7,1
Goa,2011,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Goa,2012,1,6,0,7,0,1,1,0,1,0,0,0,0,0,0,0,7,0,2,0,7,0
Gujarat,2001,27,281,2,44,262,1903,2165,2,1998,165,24,141,9,0,0,0,0,2,35,6,189,18
Gujarat,2002,44,228,4,108,160,1998,2158,16,1988,154,39,115,1,0,0,0,0,0,38,5,176,179
Gujarat,2003,108,212,0,125,195,1988,2183,8,1998,177,55,122,1,1,0,0,0,0,50,4,586,231
Gujarat,2004,125,247,0,125,247,1998,2245,18,1915,312,100,212,1,0,4,1,4,0,28,13,188,34
Gujarat,2005,125,239,0,125,239,1915,2154,5,1694,455,122,333,0,0,2,0,0,0,21,37,181,32
Gujarat,2006,125,229,0,125,229,1694,1923,8,1492,423,130,293,0,1,1,0,0,0,0,0,154,24
Gujarat,2007,125,225,110,120,120,1492,1612,90,1028,494,167,327,5,9,0,0,0,4,27,11,162,19
Gujarat,2008,120,295,160,115,140,1028,1168,40,928,200,70,130,15,24,1,1,0,4,4,36,200,29
Gujarat,2009,115,276,0,144,247,928,1175,9,959,207,66,141,9,36,5,6,0,5,11,38,160,21
Gujarat,2010,144,947,0,449,642,959,1601,0,1378,223,51,172,5,35,1,0,2,3,9,46,215,35
Gujarat,2011,449,292,1,462,278,1378,1656,4,1517,135,52,83,2,7,1,3,0,1,33,12,178,51
Gujarat,2012,462,256,231,219,268,1517,1785,10,1617,158,39,119,2,0,2,3,0,0,18,18,167,36
Haryana,2001,1805,198,7,906,1090,1235,2325,24,2238,63,4,59,0,0,0,0,0,0,0,43,87,79
Haryana,2002,906,337,9,1097,137,2238,2375,23,2284,68,10,58,0,0,0,0,0,0,24,37,158,315
Haryana,2003,1097,366,11,1099,353,2284,2637,19,2546,72,27,45,0,0,0,0,0,0,2,24,133,74
Haryana,2004,1099,259,27,1059,272,2546,2818,2,2580,236,51,185,0,0,0,0,0,0,5,23,125,130
Haryana,2005,1059,236,42,1014,239,2580,2819,5,2525,289,80,209,0,0,0,0,0,0,8,26,103,106
Haryana,2006,1014,407,98,989,334,2525,2859,59,2655,145,33,112,0,0,0,0,0,0,14,33,293,84
Haryana,2007,989,285,27,940,307,2655,2962,26,2532,404,42,362,0,0,0,0,0,0,7,17,146,32
Haryana,2008,940,335,27,901,347,2532,2879,52,2605,222,46,176,0,0,0,0,0,0,3,24,132,15
Haryana,2009,1020,233,65,968,184,2522,2559,15,2219,420,104,316,0,0,16,0,0,0,5,10,17,40
Haryana,2010,968,114,34,929,119,2219,2338,17,1797,524,88,436,0,0,0,0,0,0,7,18,26,14
Haryana,2011,929,126,33,886,136,1797,1933,11,1681,241,100,141,0,0,0,0,0,0,5,11,87,7
Haryana,2012,886,130,32,746,238,1681,1919,9,1699,211,73,138,0,0,0,0,0,0,2,9,69,16
Himachal Pradesh,2001,96,58,14,105,35,103,138,4,111,23,4,19,2,2,0,0,0,0,18,31,19,13
Himachal Pradesh,2002,105,66,18,112,41,111,213,24,130,59,9,50,3,19,0,0,0,0,5,18,37,23
Himachal Pradesh,2003,112,70,53,74,55,130,185,19,123,43,8,35,2,14,0,0,0,0,7,7,24,19
Himachal Pradesh,2004,74,55,0,87,42,123,152,14,94,44,20,24,3,19,0,0,0,0,14,2,17,13
Himachal Pradesh,2005,87,81,14,103,51,94,145,1,113,31,9,22,2,0,0,0,0,0,8,13,34,12
Himachal Pradesh,2006,103,79,11,112,59,113,172,8,141,23,5,18,0,0,0,0,2,0,1,4,27,7
Himachal Pradesh,2007,186,177,73,184,119,426,545,26,417,105,1,88,5,6,0,0,0,0,10,46,104,105
Himachal Pradesh,2008,209,153,41,206,115,514,629,0,526,103,12,91,3,3,0,0,0,0,0,0,71,66
Himachal Pradesh,2009,206,239,3,272,170,526,701,2,524,175,14,161,1,0,0,0,0,0,13,8,131,96
Himachal Pradesh,2010,272,187,7,263,189,524,713,4,626,83,11,72,0,0,0,0,0,0,0,0,35,83
Himachal Pradesh,2011,263,253,31,254,231,626,857,22,543,292,52,240,7,26,0,0,0,0,0,0,86,158
Himachal Pradesh,2012,254,120,33,221,120,543,663,4,487,172,40,132,14,7,0,0,0,0,2,4,45,53
Jammu & Kashmir,2001,204,134,0,259,79,2108,2187,4,2146,37,6,31,140,0,0,0,0,0,0,44,53,9
Jammu & Kashmir,2002,259,28,0,111,176,2146,2322,1,2260,61,1,60,131,0,0,0,0,0,0,0,50,3
Jammu & Kashmir,2003,111,39,0,63,87,2260,2347,13,2264,70,5,65,217,0,0,0,0,0,0,66,54,8
Jammu & Kashmir,2004,63,20,0,59,24,2264,2288,26,2110,152,7,145,98,0,0,0,0,0,0,26,23,0
Jammu & Kashmir,2005,59,53,0,53,59,2110,2169,10,2117,42,7,35,32,0,0,0,0,0,0,57,60,16
Jammu & Kashmir,2006,53,39,0,39,53,2117,2170,1,2086,83,8,75,25,0,0,0,0,0,0,0,62,7
Jammu & Kashmir,2007,39,131,0,0,160,2086,2246,26,2172,48,5,43,10,0,0,0,0,0,22,22,109,18
Jammu & Kashmir,2008,0,131,0,0,131,2172,2303,2,2208,93,6,87,10,0,0,0,0,0,0,0,48,10
Jammu & Kashmir,2009,0,131,0,0,131,2172,2303,2,2208,93,6,87,10,0,0,0,0,0,0,0,48,10
Jammu & Kashmir,2010,0,56,0,53,109,2208,2317,3,2279,35,4,31,18,0,0,0,0,0,0,0,57,11
Jammu & Kashmir,2011,53,67,0,0,120,2279,2399,4,2362,33,11,20,1,0,0,0,0,0,0,0,63,40
Jammu & Kashmir,2012,0,130,18,0,112,2362,2474,3,2420,51,13,38,1,0,1,0,0,0,0,0,104,33
Jharkhand,2002,26,84,0,84,72,26,108,0,0,0,0,0,78,0,0,0,0,0,1,9,52,6
Jharkhand,2003,28,29,1,29,37,175,308,0,0,8,4,0,98,0,0,0,0,0,1,12,0,0
Jharkhand,2004,13,13,0,0,100,175,281,0,1315,1,1,0,13,0,0,0,0,0,0,0,0,1
Jharkhand,2006,16,16,0,16,12,361,16,0,361,1,1,0,12,12,0,0,0,0,0,5,10,0
Jharkhand,2007,15,15,0,15,18,377,15,0,392,0,0,0,19,19,0,0,0,0,0,12,16,0
Jharkhand,2008,15,25,0,25,51,392,51,1,442,0,0,0,33,33,0,0,0,0,0,0,14,4
Jharkhand,2009,15,25,0,25,51,392,51,1,442,0,0,0,33,33,0,0,0,0,0,0,14,4
Jharkhand,2010,52,52,0,77,0,0,52,0,77,0,1,1,311,311,0,0,4,8,54,86,140,53
Jharkhand,2011,0,41,1,0,279,0,0,1,0,0,1,1,28,27,0,0,0,0,15,22,39,124
Jharkhand,2012,155,41,0,155,41,77,118,0,114,4,4,0,132,167,0,0,0,0,9,21,102,35
Karnataka,2001,473,202,152,425,98,1145,1243,7,1062,174,15,159,1,0,0,0,0,0,24,32,140,6
Karnataka,2002,425,175,220,221,159,1062,1221,32,1967,122,9,113,16,0,0,0,0,0,54,107,333,14
Karnataka,2003,221,93,50,221,43,1967,2010,562,1262,186,19,167,0,0,0,0,0,0,60,112,311,6
Karnataka,2004,221,77,96,142,60,1262,1322,14,1043,265,41,224,7,0,0,0,0,0,6,26,48,18
Karnataka,2005,142,340,145,165,172,1043,1215,6,938,271,42,229,0,0,0,0,0,0,41,45,227,27
Karnataka,2006,165,318,50,250,183,938,1121,11,848,262,27,235,145,1,9,1,0,0,48,57,202,11
Karnataka,2007,250,284,101,181,252,848,1100,56,873,171,35,136,1,20,0,1,0,0,31,58,198,14
Karnataka,2008,181,380,133,264,164,873,1037,3,928,125,20,106,81,81,4,0,0,0,52,46,230,30
Karnataka,2009,264,430,73,636,344,928,1272,18,1309,165,29,115,41,79,2,0,0,0,41,74,315,28
Karnataka,2010,636,497,126,639,368,1309,1677,50,1350,277,87,190,59,70,2,0,3,0,51,104,345,72
Karnataka,2011,636,531,101,662,404,1350,1754,35,1450,269,85,184,104,121,0,0,0,0,56,77,323,52
Karnataka,2012,662,780,179,674,589,1450,2039,116,1711,212,96,116,144,138,6,6,0,0,54,74,313,97
Kerala,2001,185,49,49,0,185,453,638,0,560,78,58,20,33,0,0,0,0,0,0,404,502,476
Kerala,2002,0,28,28,0,278,560,838,0,758,80,45,35,33,23,0,0,0,0,163,0,248,178
Kerala,2003,0,20,20,0,267,758,1025,2,949,74,26,48,51,0,0,0,0,0,0,230,355,180
Kerala,2004,0,33,33,0,231,949,1180,2,1097,81,23,58,53,3,0,0,0,150,0,0,216,121
Kerala,2005,234,23,23,0,234,1097,1331,0,1237,94,33,61,18,38,0,0,0,0,69,35,0,0
Kerala,2006,0,29,29,0,186,1237,1423,1,1380,42,26,16,18,4,0,0,0,0,0,0,209,125
Kerala,2007,0,7,7,0,396,1380,1776,27,1651,98,62,36,16,31,0,0,0,0,4,39,159,141
Kerala,2008,0,22,22,0,193,1651,1844,72,1642,130,85,45,18,4,0,0,0,0,16,49,179,62
Kerala,2009,0,28,28,0,213,398,455,12,0,150,71,60,32,7,0,1,1,3,7,83,387,173
Kerala,2010,4,29,12,0,176,998,1174,6,0,117,71,46,41,2,10,0,2,8,47,99,195,187
Kerala,2011,0,20,18,0,337,1026,1363,1,0,88,40,43,20,0,3,1,3,4,0,0,127,44
Kerala,2012,0,37,21,0,247,1376,1623,6,0,110,29,81,1,4,0,0,4,4,7,13,112,50
Madhya Pradesh,2001,411,66,0,288,189,942,1131,17,900,214,69,145,4,0,0,0,0,4,28,97,208,14
Madhya Pradesh,2002,693,226,0,0,251,997,1248,6,1058,190,74,95,2,0,0,0,0,0,31,67,213,24
Madhya Pradesh,2003,476,296,0,0,208,747,955,4,811,140,64,72,31,0,0,0,0,0,21,45,159,11
Madhya Pradesh,2004,476,129,0,0,378,811,1189,6,102,161,72,89,12,0,0,0,0,0,16,25,78,10
Madhya Pradesh,2005,148,41,41,189,310,762,499,8,288,203,82,98,12,NA,NA,NA,1,12,2,11,24,4
Madhya Pradesh,2006,0,0,0,0,179,884,1063,16,801,246,144,102,2,0,0,0,10,10,0,2,162,22
Madhya Pradesh,2007,0,0,0,0,155,874,1029,38,770,221,111,72,1,0,0,0,2,4,15,45,58,19
Madhya Pradesh,2008,0,0,0,0,185,928,1113,3,943,267,70,173,0,0,0,0,0,0,15,42,53,21
Madhya Pradesh,2009,0,0,0,0,144,943,1087,3,1021,63,34,29,0,0,0,0,0,0,16,27,58,43
Madhya Pradesh,2010,0,0,0,0,132,1021,1153,24,1039,90,45,45,0,0,9,0,0,0,7,92,72,33
Madhya Pradesh,2011,0,0,0,0,165,1039,1204,41,1071,92,49,47,11,0,6,0,0,0,8,80,70,35
Madhya Pradesh,2012,0,0,0,0,213,755,968,14,852,121,54,67,16,0,0,0,2,4,4,33,49,10
Maharashtra,2001,835,712,15,803,729,3205,3934,7,3564,363,117,246,8,0,0,0,45,23,37,83,514,78
Maharashtra,2002,803,651,17,825,612,3564,4176,16,3717,443,105,338,6,0,0,1,0,3,38,50,418,81
Maharashtra,2003,825,792,18,869,730,3717,4447,14,3929,504,131,373,5,0,0,0,0,3,54,81,622,93
Maharashtra,2004,869,575,21,789,634,3929,4563,13,3815,735,193,542,2,0,0,0,1,4,60,61,455,77
Maharashtra,2005,789,556,5,838,502,3815,4317,11,3495,811,195,616,32,0,0,0,0,2,57,47,435,66
Maharashtra,2006,838,625,1,775,687,3495,4182,39,3588,555,134,421,35,0,0,0,4,10,52,62,468,63
Maharashtra,2007,775,870,4,1188,453,3588,4041,21,3553,467,97,370,10,0,1,0,1,1,88,72,433,73
Maharashtra,2008,1188,614,13,1148,641,3553,4194,23,3493,678,151,527,6,0,0,0,12,0,49,52,432,55
Maharashtra,2009,1148,531,13,1015,651,3493,4144,34,3463,647,137,510,18,0,0,0,7,4,49,74,419,74
Maharashtra,2010,1015,676,30,1016,645,3463,4108,83,3482,543,85,458,45,0,0,0,4,4,114,83,527,107
Maharashtra,2011,1016,663,5,1048,626,3482,4108,48,3543,517,103,414,25,0,0,0,5,7,67,79,506,93
Maharashtra,2012,1048,706,3,988,763,3543,4306,3,3627,676,146,530,30,0,0,0,1,1,123,98,662,111
Manipur,2001,4,6,5,3,2,16,18,0,18,0,0,0,0,0,0,0,0,0,2,0,4,0
Manipur,2002,3,3,0,3,3,18,21,0,21,0,0,0,0,0,0,0,0,0,6,3,7,4
Manipur,2003,3,3,0,3,3,21,24,0,24,0,0,0,0,0,0,0,0,0,3,1,4,0
Manipur,2004,3,0,0,0,3,24,27,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0
Manipur,2005,0,8,0,0,8,27,35,0,35,0,0,0,0,0,0,0,0,0,1,3,4,6
Manipur,2006,8,0,0,8,0,35,35,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0
Manipur,2007,8,4,0,8,4,35,39,0,39,0,0,0,0,0,0,0,0,0,3,0,1,0
Manipur,2008,8,0,0,8,0,39,39,0,38,1,0,1,0,0,0,0,0,0,0,0,0,0
Manipur,2009,8,0,0,8,2,10,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,23,1,0,23,1,23,24,1,23,0,0,0,3,1,0,2,5,8,7,9,10,0
Manipur,2011,24,4,4,28,0,19,19,0,19,0,0,0,3,1,0,1,0,0,0,1,3,0
Manipur,2012,28,1,1,25,3,19,22,1,19,2,0,2,0,2,0,0,0,0,0,1,1,0
Meghalaya,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Meghalaya,2006,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Meghalaya,2007,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
Meghalaya,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2011,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2012,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,4,1,1,1,3,2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2002,3,1,0,4,4,4,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0
Mizoram,2003,8,0,0,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,8,0,0,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2005,8,1,0,9,0,8,8,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0
Mizoram,2006,3,3,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Mizoram,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Mizoram,2008,6,11,2,14,1,0,1,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0
Mizoram,2009,14,26,0,37,2,1,3,0,3,0,0,0,0,37,0,0,0,0,9,1,4,9
Mizoram,2010,37,26,37,23,3,3,6,0,3,3,0,3,2,14,0,0,0,0,4,0,0,10
Mizoram,2011,23,35,0,42,16,3,19,1,17,1,0,1,21,21,0,0,0,0,16,2,4,16
Mizoram,2012,42,18,0,54,6,17,23,1,20,2,0,2,18,6,1,0,0,0,13,5,68,2
Nagaland,2001,0,19,0,0,19,0,19,0,19,0,0,0,0,11,1,0,0,0,8,2,13,1
Nagaland,2002,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,5,1,6,1
Nagaland,2003,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,0,16,0,16,2,5,7,0,0,0,0,0,258,0,0,0,0,0,0,11,117,119
Nagaland,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,20,17,0
Nagaland,2006,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2007,14,14,10,14,4,10,14,0,14,0,0,0,4,1,0,0,1,0,0,1,13,1
Nagaland,2008,14,23,0,32,5,14,19,0,17,2,1,1,32,12,0,0,0,12,8,4,24,4
Nagaland,2009,17,68,68,68,68,17,17,1,17,14,14,2,2,2,5,0,12,3,72,3,9,1
Nagaland,2010,68,10,10,52,16,17,33,22,10,0,1,0,0,3,0,0,0,0,0,0,55,1
Nagaland,2011,52,26,0,15,63,10,73,10,53,10,7,3,5,13,0,0,0,0,1,4,182,6
Nagaland,2012,15,15,15,10,5,53,58,3,50,5,0,5,0,4,0,0,0,0,4,0,7,11
Odisha,2001,78,239,91,75,151,1708,1859,7,1789,63,10,53,208,5,0,0,9,4,77,71,296,46
Odisha,2002,75,300,53,65,257,1789,2046,16,1953,77,7,70,7,0,2,0,54,109,0,0,0,0
Odisha,2003,65,261,12,104,210,1953,2163,18,2081,64,14,50,0,153,0,77,77,35,207,89,343,141
Odisha,2004,104,386,23,81,386,2081,2467,10,2379,78,13,65,132,0,0,1,9,3,71,106,347,107
Odisha,2005,81,219,7,74,219,2379,2598,6,2514,78,19,59,111,10,1,1,13,8,64,161,204,165
Odisha,2006,74,238,39,35,238,2514,2752,6,2549,197,55,142,178,15,0,0,8,2,55,40,268,93
Odisha,2007,35,239,16,26,232,2549,2781,16,2641,124,46,78,62,27,1,2,3,4,93,90,259,193
Odisha,2008,25,599,58,119,448,2641,3089,39,2895,155,61,94,66,6,7,3,6,5,93,66,405,111
Odisha,2009,119,657,10,305,461,2895,3356,18,3147,191,86,105,74,24,9,7,7,3,74,87,400,96
Odisha,2010,305,733,6,543,489,3147,3636,41,3286,309,98,211,212,68,21,1,22,10,100,451,397,147
Odisha,2011,543,804,615,187,545,3286,3831,37,3511,283,107,176,456,14,17,17,8,8,79,78,490,157
Odisha,2012,187,869,17,229,810,3511,4321,16,4101,204,79,125,543,29,28,2,23,14,66,76,406,109
